acc,n_sites,n_positive,n_negative,positive_negative_pairs,within_protein_auc
O00178,3,1,2,2,0.5
O60307,11,1,10,10,0.4
O75061,2,1,1,1,0.0
O95251,2,1,1,1,0.0
P06239,8,1,7,7,0.8571428571428571
P06733,5,1,4,4,0.0
P07437,6,1,5,5,0.4
P08238,5,1,4,4,0.5
P09874,2,1,1,1,0.0
P12956,7,1,6,6,0.6666666666666666
P13807,5,1,4,4,0.75
P17252,2,1,1,1,0.0
P22314,6,1,5,5,0.4
P27987,4,1,3,3,0.0
P28482,2,1,1,1,1.0
P29375,2,1,1,1,1.0
P29590,4,1,3,3,0.0
P31321,2,1,1,1,0.0
P31751,2,1,1,1,1.0
P46100,6,1,5,5,1.0
P49790,6,1,5,5,0.8
P53985,2,1,1,1,0.0
P55198,2,1,1,1,0.0
Q13263,11,4,7,28,0.42857142857142855
Q13370,3,1,2,2,1.0
Q15311,7,1,6,6,1.0
Q49A26,3,1,2,2,1.0
Q5VYS8,2,1,1,1,0.0
Q6GQQ9,3,1,2,2,1.0
Q6P0Q8,9,1,8,8,0.375
Q6PL18,5,1,4,4,0.0
Q8IX07,8,1,7,7,0.42857142857142855
Q8NHM5,7,1,6,6,0.3333333333333333
Q8TEK3,9,1,8,8,0.0
Q8WY91,4,1,3,3,0.0
Q8WYQ5,4,1,3,3,1.0
Q969F2,3,1,2,2,0.5
Q969R5,3,1,2,2,0.0
Q96JP5,3,1,2,2,0.5
Q96PY6,3,1,2,2,0.0
Q9BZ72,3,1,2,2,0.0
Q9H165,5,1,4,4,0.25
Q9H9J4,4,1,3,3,0.3333333333333333
Q9HB75,2,1,1,1,1.0
Q9NUE0,2,1,1,1,0.0
Q9P275,6,1,5,5,0.0
Q9UHI6,2,1,1,1,0.0
Q9ULI0,3,2,1,2,0.0
